service_id,date,exception_type
0000001092013091120140611,20140425,2
0000001092013091120140611,20140426,2
0000001092013091120140611,20140428,2
0000001092013091120140611,20140429,2
0000001092013091120140611,20140430,2
0000001092013091120140611,20140501,2
0000001092013091120140611,20140502,2
0000001092013091120140611,20140503,2
0000001092013091120140611,20140505,2
0000001092013091120140611,20140506,2
0000001092013091120140611,20140507,2
0000001092013091120140611,20140508,2
0000001092013091120140611,20140509,2
0000001092013091120140611,20140510,2
0000001092013091120140611,20140512,2
0000001092013091120140611,20140513,2
0000001092013091120140611,20140514,2
0000001092013091120140611,20140515,2
0000001092013091120140611,20140516,2
0000001092013091120140611,20140517,2
0000001092013091120140611,20140519,2
0000001092013091120140611,20140520,2
0000001092013091120140611,20140521,2
0000001092013091120140611,20140522,2
0000001092013091120140611,20140523,2
0000001092013091120140611,20140524,2
0000001092013091120140611,20140526,2
0000001092013091120140611,20140527,2
0000001092013091120140611,20140528,2
0000001092013091120140611,20140529,2
0000001092013091120140611,20140530,2
0000001092013091120140611,20140531,2
0000001092013091120140611,20140602,2
0000001092013091120140611,20140603,2
0000001092013091120140611,20140604,2
0000001092013091120140611,20140605,2
0000001092013091120140611,20140606,2
0000001092013091120140611,20140607,2
0000001092013091120140611,20140609,2
0000001092013091120140611,20140610,2
0000001092013091120140611,20140611,2
