stop_id,stop_name,stop_desc,stop_lat,stop_lon
527,Meano "Centro Civico",,46.126522,11.116682
1278,Corso Bettini Liceo,,45.896138,11.043343
1279,Corso Bettini Liceo,,45.895066,11.043410
1280,Corso Bettini "Mart",,45.893031,11.043616
1281,Corso Bettini "Mart",,45.892816,11.043904
1282,Corso Rosmini Via Savioli,,45.890963,11.037817
1283,Corso Rosmini Monumento,,45.890870,11.042857
1284,Corso Rosmini Posta,,45.890973,11.041257
1285,Corso Rosmini Via Savioli,,45.890883,11.038010
1286,Corso Verona Ospedale,,45.882487,11.040492
1287,Lizzanella Corso Verona,,45.875566,11.034071
1289,Corso Verona Ospedale,,45.881066,11.039620
1290,Via Vicenza Via Cartiera,,45.887155,11.050411
1291,Via Vicenza Via Cartiera,,45.887187,11.051160
1292,Chiusole,,45.925520,11.052173
1293,Chiusole,,45.925390,11.053592
1294,Clinica Solatrix,,45.897990,11.045512
1295,Costa Capolinea,,45.884218,11.072911
1296,Sp.2 Loc. Beccache',,45.882087,11.071643
1297,Marco Via Pinera,,45.847835,11.011731
1298,Marco Centro,,45.844005,11.008643
1299,Marco Chiesa,,45.841765,11.007816
1300,Marco Via Alla Ghiffa,,45.840118,11.009468
1301,Marco,,45.836852,11.011188
1302,Marco Via Alla Ghiffa,,45.840222,11.009563
1303,Marco Chiesa,,45.841469,11.008281
1304,Marco Centro,,45.843767,11.008609
1305,Marco Via Pinera,,45.847568,11.011566
1307,Nogaredo Via Zuccate,,45.912139,11.025272
1308,Nogaredo Via Zuccate,,45.912212,11.025262
1309,Nomi "Casa di Riposo",,45.927892,11.076793
1310,Nomi Piazza Springa,,45.928891,11.072085
1311,Piazzale Orsi Stazione Fs,,45.890189,11.034270
1312,"Stazione Fs",,45.890685,11.034009
1313,Piazzale S.Giorgio,,45.895510,11.029591
1314,Piazzale S.Giorgio,,45.895699,11.028855
1315,Piazzale S.Maria Ospedale,,45.883438,11.040503
1316,Piazzale S.Maria Ospedale,,45.883616,11.040937
1318,Piazza Manifattura,,45.883923,11.021153
1319,Piazza Manifattura,,45.883838,11.020771
1320,Piazza Battisti,,45.890071,11.043906
1322,Piazza Podestà,,45.886586,11.045629
1323,Piazza S.Marco,,45.888708,11.045294
1324,Piazzo,,45.922256,11.033881
1325,Piazzo,,45.922219,11.033932
1326,Pomarolo Chiesa,,45.926469,11.045297
1327,Pomarolo Chiesa,,45.926386,11.045658
1328,Pomarolo Via Degasperi,,45.926343,11.042440
1329,Pomarolo Via Degasperi,,45.926217,11.042436
1331,S.Ilario Sav,,45.908213,11.040563
1332,S.Ilario Via Monti,,45.910990,11.040806
1333,S.Ilario Sav,,45.908078,11.040657
1334,Sp.2 Loc. Beccache',,45.882063,11.071733
1335,Viale Dei Colli "Distributore",,45.887518,11.059253
1337,Viale Dei Colli "Distributore",,45.887439,11.059541
1338,Sp.2 Fr. Campolongo,,45.886995,11.063902
1339,Sp.2 Noriglio,,45.884263,11.070323
1340,Sp.2 Noriglio,,45.884371,11.069842
1341,Sp.2 Fr. Campolongo,,45.886988,11.063994
1342,Noriglio Via Dei Cimbri,,45.884696,11.069650
1343,Lizzana Cristo,,45.866956,11.030832
1344,Ss.12 Lavini,,45.855085,11.018587
1347,Lizzana Cristo,,45.867259,11.030840
1348,Lizzana Scuole Medie,,45.870236,11.031119
1349,Lizzana Scuole Medie,,45.870623,11.031133
1350,Lizzanella Ss.12,,45.875522,11.031822
1351,Lizzanella Ss.12,,45.875686,11.032030
1356,Via Baratieri,,45.896521,11.040654
1357,Via Benacense Via Fiume,,45.882042,11.038360
1358,Via Benacense Via Fiume,,45.881993,11.038495
1359,Via Benacense Parco Ferrari,,45.878072,11.033318
1360,Via Benacense Scuole Dante,,45.879617,11.035043
1361,Via Benacense Scuole Dante,,45.879709,11.035212
1362,Via Benacense Parco Ferrari,,45.877921,11.033242
1363,Via Cavour Via Riva,,45.887219,11.034767
1364,Via Cavour,,45.887151,11.038130
1365,Via Cavour Via Riva,,45.887293,11.034164
1366,Via Cavour,,45.887117,11.038372
1367,Via Cesari Stazione Fs,,45.890279,11.035658
1369,Via Dante Borgo S.Caterina,,45.889592,11.040460
1370,Via Dante Mon. All'alpino,,45.885880,11.040399
1371,Via Dante Mon. All'alpino,,45.886067,11.040305
1372,Viale Dei Colli Sc. Alberghiera,,45.891067,11.047189
1373,Viale Dei Colli Sc. Alberghiera,,45.891046,11.047336
1374,Viale Dei Colli S.Biagio,,45.890313,11.050118
1375,Viale Dei Colli S.Biagio,,45.890265,11.050139
1376,Via Driopozzo Bivio Solatrix,,45.899638,11.044451
1378,Via Lungo Leno Destro,,45.884855,11.038586
1380,Via Giovannini,,45.907026,11.043154
1383,Via Manzoni A.S.M.,,45.893369,11.036067
1384,Via Manzoni A.S.M.,,45.893369,11.036193
1385,Via Balista,,45.894967,11.032631
1386,Via Balista,,45.894961,11.032738
1388,Via Manzoni Via Paoli,,45.892237,11.039370
1389,Via Paoli Piazza 25 Aprile,,45.893116,11.040065
1391,Via Paoli,,45.891332,11.040106
1392,Via Pasubio Via Unione,,45.887465,11.024942
1393,Via Pasubio Viale Vittoria,,45.887211,11.030668
1394,Via Pasubio Viale Vittoria,,45.887266,11.030142
1395,Via Pasubio Via Unione,,45.887505,11.024737
1397,Via A Prato,,45.893666,11.030581
1398,Via Puccini Via Perosi,,45.903785,11.045042
1399,Via Puccini Via Donizetti,,45.901372,11.046220
1400,Via Pellico Brione,,45.904569,11.042576
1401,Via Saibanti,,45.888163,11.036728
1402,Via Saibanti,,45.888111,11.036707
1404,Piazzale Orsi Ist. Veronesi,,45.891328,11.034569
1405,Via Tiella,,45.907669,11.043757
1408,Via Unione Scuole Degasperi,,45.885236,11.023282
1409,Via Unione Scuole Degasperi,,45.885564,11.023170
1410,Via Zeni "Centro Tecnofin",,45.890465,11.032705
1411,Via Zeni "Centro Tecnofin",,45.891013,11.032714
1412,Viale Trento Via Magazol,,45.899562,11.042141
1413,Viale Trento Via Magazol,,45.899616,11.042207
1414,Viale Trento Via Brione,,45.901770,11.041487
1415,Viale Trento Via Brione,,45.901722,11.041666
1416,Viale Trento Via Salvetti,,45.906610,11.040104
1417,Viale Trento Via Salvetti,,45.906689,11.040210
1418,Viale Vittoria Via Zotti,,45.885459,11.025871
1419,Viale Vittoria Fucine,,45.886441,11.029403
1420,Viale Vittoria Via Zotti,,45.885252,11.025383
1421,Viale Vittoria Fucine,,45.886286,11.029023
1422,Ss.12 "Rovercenter",,45.864490,11.029338
1424,Villa Lagarina Via Alpini,,45.914559,11.034087
1425,Villa Lagarina Via Alpini,,45.914750,11.033819
1426,Villa Lagarina Via Solari,,45.917108,11.028806
1427,Villa Lagarina Via Solari,,45.917136,11.028755
1429,Villa Lagarina V. Zandonai,,45.912508,11.031747
1431,Via Craffonara,,45.886658,11.034356
1432,Via Monte Corno,,45.893135,11.037613
1433,Via Parteli,,45.896472,11.036768
1434,Via Pasqui,,45.899597,11.037398
1437,Viale Caproni "Sony",,45.865476,11.010393
1440,Viale Dell'industria,,45.871736,11.020685
1442,Viale Del Lavoro "Aticarta",,45.866718,11.023454
1443,Viale Del Lavoro "Rovercenter",,45.863613,11.027012
1444,Via S.Maria,,45.884661,11.042935
1445,Via Sighele Stazione Fs,,45.891265,11.035482
1446,Via Zotti Via Cevedale,,45.885721,11.025832
1447,Via Zotti,,45.886239,11.021005
1504,Via Fornaci "Texbond",,45.860058,11.005383
1685,Via Macello,,45.894308,11.032788
2120,Zambra "Top Center",,46.091075,11.117774
2189,Piazza Dante Dogana,,46.072592,11.119949
2213,Bivio Per Senter,,45.881211,11.077472
2214,Bivio Per Senter,,45.881441,11.077608
2215,Brancolino,,45.902185,11.020153
2216,Brancolino,,45.902219,11.020270
2217,Brancolino Sp.90,,45.900719,11.020254
2218,Brancolino Sp.90,,45.900853,11.020410
2219,Casa Del Falegname,,45.885720,11.076344
2220,Casa Del Falegname,,45.885630,11.076356
2221,Casa Nel Bosco,,45.882386,11.076318
2222,Casa Nel Bosco,,45.882347,11.076349
2223,Castellano,,45.923356,11.007702
2224,Cisterna,,45.883094,11.086350
2225,Cisterna,,45.883158,11.086399
2226,Cornale',,45.881541,11.010793
2227,Cornale',,45.881500,11.010729
2229,Folaso,,45.887066,11.001261
2230,Folaso,,45.887214,11.001313
2231,Isera Via Rosina,,45.887566,11.010587
2232,Isera Via Rosina,,45.887771,11.010711
2233,Isera Cimitero,,45.888588,11.011862
2234,Isera Cimitero,,45.888491,11.011704
2235,Isera Piazza San Vincenzo,,45.885334,11.009152
2236,Isera Piazza San Vincenzo,,45.885224,11.009125
2237,Lenzima,,45.878491,10.992327
2238,Marano,,45.895859,11.015489
2239,Marano,,45.895743,11.015472
2240,Maso Mortal,,45.882809,11.079507
2241,Maso Mortal,,45.882917,11.079470
2242,Moietto,,45.894865,11.086017
2243,Molina,,45.855439,10.986616
2244,Molina,,45.855393,10.986692
2245,Mori Bar Centrale,,45.851666,10.978853
2246,Mori Piazza Cal di Ponte,,45.851720,10.977892
2247,Mori Via Garibaldi,,45.853043,10.975311
2248,Mori Piazzale Kennedy,,45.851716,10.979141
2249,Mori Via Don Sturzo,,45.853419,10.970185
2250,Mori Via Filzi,,45.854286,10.972109
2253,Noarna,,45.911090,11.012496
2254,Noarna,,45.910988,11.012480
2255,Nogaredo Municipio,,45.912062,11.023051
2256,Nogaredo Municipio,,45.911989,11.023088
2257,Nogaredo Vignai,,45.910710,11.019922
2258,Nogaredo Via Dei Colli,,45.911742,11.021481
2259,Nogaredo Scuole Elementari,,45.909569,11.022535
2260,Nogaredo Scuole Elementari,,45.909320,11.022346
2261,Villa Lagarina Via Marconi,,45.915558,11.027715
2262,Villa Lagarina Via Marconi,,45.915352,11.027845
2265,Noriglio Cassa Rurale,,45.883717,11.069234
2266,Noriglio Mon. Ai Caduti,,45.883665,11.070377
2267,Patone,,45.902767,11.000423
2268,Pedersano Capolinea,,45.922625,11.020454
2271,Pedersano Centro,,45.918006,11.019786
2272,Pedersano Centro,,45.917890,11.019717
2273,Piazza Filzi Via Del Porto,,45.884058,11.017995
2274,Ravazzone,,45.860012,10.991223
2275,Mori Stazione Via Stazione,,45.861992,11.000505
2276,Mori Stazione Via Stazione,,45.861835,11.000757
2277,Reviano,,45.891169,11.007340
2278,Reviano,,45.891587,11.007136
2281,S.Ilario Iti,,45.910932,11.042030
2282,S.Ilario Iti,,45.909897,11.041744
2283,S.Ilario Via Stroperi,,45.913169,11.044680
2284,S.Ilario Via Stroperi,,45.913089,11.044657
2285,Sp.20 S.Sisinio,,45.924877,11.021092
2286,Sp.20 Zisi,,45.931009,11.022102
2287,Sp.20 Zisi,,45.931416,11.022116
2288,Sp.20 S.Sisinio,,45.924981,11.021093
2289,Ss.240 "Millennium Sud",,45.868678,11.014119
2291,Ss.240 "Millennium Sud",,45.868802,11.014170
2292,Ravazzone,,45.858843,10.990640
2293,Ss.240 "Millennium Nord",,45.870320,11.016768
2294,Ss.240 "Millennium Nord",,45.870588,11.017358
2295,Saltaria,,45.895428,11.067237
2296,Saltaria,,45.895205,11.067408
2297,Sano,,45.846341,10.951531
2298,Sasso,,45.904055,11.013671
2299,Sasso,,45.904012,11.013554
2300,Senter,,45.877509,11.089407
2301,Tierno Scuola Materna,,45.845557,10.979812
2302,Tierno Via Battisti,,45.847813,10.977934
2303,Tierno Via Terra Nera,,45.847758,10.983715
2304,Toldi,,45.897923,11.061752
2307,Via D.Chiesa,,45.886200,11.019384
2309,Via Della Libertà,,45.884868,11.017591
2310,Via Driopozzo Bivio Solatrix,,45.898720,11.044443
2311,Via Fedrigotti Chiesa,,45.884259,11.020421
2312,Noriglio Via Fontani,,45.884341,11.068686
2318,Via Lagarina,,45.910398,11.039909
2321,Via Lagarina,,45.910879,11.039811
2322,Via Puccini Via Donizetti,,45.901706,11.046261
2323,Via Puccini Via Perosi,,45.904524,11.044655
2325,Noriglio Via Valteri,,45.886140,11.065260
2329,Via Vicenza Via Asiago,,45.885561,11.059525
2330,Viale Caproni "Chizzola",,45.868365,11.022470
2331,Viale Del Lavoro "Aticarta",,45.866295,11.023867
2332,Viale Dell'industria,,45.871749,11.020845
2333,Villa Lagarina Via Magrè,,45.917709,11.033243
2334,Villa Lagarina Via Magrè,,45.917520,11.033502
2335,Villa Lagarina Via Segantini,,45.916175,11.034150
2336,Villa Lagarina Via Segantini,,45.916240,11.034113
2337,Volano Ss.12,,45.917871,11.064024
2338,Volano Ss.12,,45.917904,11.063866
2339,Volano Via Roma,,45.917155,11.069927
2340,Volano Des Tor,,45.917486,11.057512
2341,Volano Via Europa,,45.916494,11.057177
2342,Zaffoni,,45.891310,11.065552
2343,Zaffoni,,45.891281,11.065714
2349,S.Lucia Chiesa,,45.914954,11.025570
2354,Via All'adige,,45.888337,11.019067
2355,Pomarolo Via Rossaro,,45.925820,11.047490
2356,Pomarolo Via Del Pionte,,45.925107,11.048121
2359,Molini,,45.913939,11.021211
2360,Lago di Cei Bellaria,,45.957515,11.032165
2361,Lago di Cei,,45.951091,11.023207
2362,Lago di Cei Albergo,,45.948219,11.015835
2363,Sp.20 Maso Tiaf,,45.936511,11.008597
2364,Sp.20 Bivio Per Bordala,,45.930910,11.007172
2365,Castellano,,45.923278,11.007616
2367,Sp.20 Bivio Per Bordala,,45.930864,11.007233
2368,Sp.20 Maso Tiaf,,45.935890,11.008594
2369,Lago di Cei Capitello,,45.947490,11.014818
2370,Lago di Cei,,45.951042,11.023398
2372,Molini,,45.914136,11.021270
2374,Trieste Fiume,,46.063369,11.133421
2375,Trieste "Busa",,46.064822,11.135627
2376,Grazioli "Osp. S.Camillo",,46.065677,11.132418
2377,Sp 76 Bivio S.Lazzaro,,46.129006,11.115500
2380,Trener "3 Torri Pat",,46.095023,11.116759
2383,Guardini "Centochiavi",,46.092561,11.118580
2384,Zambra "Top Center",,46.091124,11.117966
2385,Zambra "Ist. D'arte Vittoria",,46.092507,11.116291
2386,Meano "Centro Civico",,46.127448,11.116520
2389,Centochiavi Lunelli,,46.092618,11.120549
2394,Piazza Guella,,45.867441,11.031932
2395,Largo S.Floriano,,45.866422,11.032697
2397,Via Brigata Mantova,,45.866722,11.034907
2398,Via Della Cisterna,,45.869441,11.033808
2404,Romagnano 7 Fontane,,46.014314,11.104351
2405,Travai Piazza Fiera,,46.064770,11.122471
2406,Ghiaie "Giardinerie",,46.052906,11.117029
2407,Ghiaie Monte Baldo,,46.056336,11.116202
2408,"Parcheggio Zuffo",,46.075042,11.109713
2409,Cavalcavia S.Lorenzo,,46.070352,11.119107
2410,"Parcheggio Monte Baldo",,46.057088,11.113414
2412,Piazzale A22,,46.077383,11.111236
2418,Ss 12 "Pioppeto",,46.108623,11.108717
2419,Ss 12 S.Anna,,46.112409,11.107438
2421,Via A Prato,,45.893565,11.030778
2422,Roncafort,,46.100730,11.101790
2423,Maso Rossi Aichner,,46.105166,11.100786
2424,S.Lorenzo "Funivia",,46.070045,11.116683
2425,Conci "Villazzano 3",,46.041328,11.140680
2426,S.Lorenzo "Funivia",,46.070304,11.117242
2430,Sanseverino Monte Baldo,,46.057694,11.112580
2431,Sanseverino "Albere"/Muse,,46.063334,11.113227
2432,Sanseverino Verdi,,46.065846,11.114266
2435,Brescia "Ca Dei Gai",,46.073516,11.105355
2437,Ravina Della Croce,,46.040974,11.110975
2438,Ss 12 Talvera,,46.103288,11.110545
2446,Ghiaie "Zona Ind.Le Ftm",,46.119113,11.105302
2447,Ghiaie Salisburgo,,46.122767,11.103337
2448,Ghiaie "Sc. Materna",,46.124931,11.099736
2449,Spini Praga,,46.123666,11.097351
2453,Palazzine Maso S.Antonio,Loc. Palazzine 117,46.115041,11.101844
2454,Crosare Officina,Via Crosare 64,46.110069,11.105486
2455,Crosare Parcheggio,,46.107991,11.105394
2457,Gardolo Castel di Gardolo,,46.113907,11.110614
2458,Gardolo Castel di Gardolo,,46.113885,11.111224
