stop_id,stop_name,stop_lat,stop_lon,stop_timezone
pv0165,MIRABELLO Pavesi,45.2128873,9.1639006,Europe/Rome
pv0166,MIRABELLO Ridella,45.2148365,9.164588,Europe/Rome
pv0167,MIRABELLO Rampoldi,45.2165642,9.1653007,Europe/Rome
pv0168,MIRABELLO Scuole,45.2185481,9.1659927,Europe/Rome
pv0169,SAN BERNARDO,45.2208077,9.1665184,Europe/Rome
pv0170,MONTEMAINO,45.2210802,9.1704886,Europe/Rome
pv0171,MONTEMAINO Boggioni,45.2217373,9.173932,Europe/Rome
pv0172,COLLEGIO BORROMEO,45.1806063,9.1606845,Europe/Rome
pv0173,GARIBALDI Lotario,45.1812907,9.1645496,Europe/Rome
pv0174,PARTIGIANI Venezia,45.1814979,9.16914,Europe/Rome
pv0175,SAN GIOVANNINO,45.1825309,9.1710111,Europe/Rome
pv0176,SAN GIOVANNINO Cimitero,45.1844026,9.1710912,Europe/Rome
pv0177,SAN GIOVANNINO Fiorentini,45.1876919,9.1704102,Europe/Rome
pv0178,SAN PAOLO Campari,45.1893327,9.1694876,Europe/Rome
pv0179,PARCO VECCHIO Poma,45.1919943,9.168184,Europe/Rome
pv0180,FOLPERTI Torretta,45.1940735,9.1658988,Europe/Rome
pv0181,FOLPERTI Marconi,45.1954231,9.1629752,Europe/Rome
pv0182,FOLPERTI San Giuseppe,45.1967667,9.1599872,Europe/Rome
pv0183,RISMONDO Questura,45.1972262,9.1576022,Europe/Rome
pv0184,RISMONDO Ludovico il Moro,45.1946178,9.1572171,Europe/Rome
pv0185,INDIPENDENZA,45.1932645,9.1555669,Europe/Rome
pv0186,INDIPENDENZA Cuzio,45.1948333,9.1523375,Europe/Rome
pv0187,POLICLINICO Longobardi,45.1955131,9.1485782,Europe/Rome
pv0189,MATTEOTTI Lanfranco,45.190137,9.1514258,Europe/Rome
pv0190,MATTEOTTI Petrarca,45.1894624,9.1549588,Europe/Rome
pv0191,CAIROLI S. Maria alle Pertiche,45.1887713,9.1604029,Europe/Rome
pv0192,CAIROLI Carlo Alberto,45.1873006,9.1592388,Europe/Rome
pv0193,SALE D.Sacchi Mazzini,45.1849432,9.1583108,Europe/Rome
pv0194,MUNICIPIO,45.1845257,9.1598273,Europe/Rome
pv0195,VOLTA Franchi Maggi,45.1842305,9.161162,Europe/Rome
pv0196,GARIBALDI San Giovanni in Borgo,45.1819259,9.1602608,Europe/Rome
pv0197,MONTEBOLONE Amendola,45.1780334,9.2057009,Europe/Rome
pv0198,CREMONA Amati,45.1775979,9.2010178,Europe/Rome
pv0199,CREMONA P. Tibaldi,45.1779253,9.1982392,Europe/Rome
pv0200,CREMONA Scarenzio,45.1785183,9.1942085,Europe/Rome
pv0201,CREMONA Salimbeni,45.1793697,9.1901251,Europe/Rome
pv0202,CREMONA Pollaioli,45.1800433,9.1865341,Europe/Rome
pv0203,SAN PIETRO IN VERZOLO,45.1809905,9.1814148,Europe/Rome
pv0204,MONTEGRAPPA Donegani,45.1820587,9.1759586,Europe/Rome
pv0205,PARTIGIANI Dossi,45.1822726,9.1736003,Europe/Rome
pv0206,PARTIGIANI San Giovannino,45.1817963,9.1704708,Europe/Rome
pv0207,PARTIGIANI Sardegna,45.1814,9.1677779,Europe/Rome
pv0208,GORIZIA Garibaldi,45.1819437,9.1661936,Europe/Rome
pv0209,GORIZIA Calchi,45.1841471,9.1649602,Europe/Rome
pv0210,SCOPOLI,45.1848767,9.1625862,Europe/Rome
pv0211,MUNICIPIO,45.1846407,9.1597312,Europe/Rome
pv0213,VITTORIA,45.1856005,9.154432,Europe/Rome
pv0214,TRIBUNALE,45.1864373,9.1505599,Europe/Rome
pv0215,CAVOUR Palestro,45.1869223,9.1483721,Europe/Rome
pv0216,STAZIONE 6,45.1885915,9.145969,Europe/Rome
pv0218,TRIESTE Longobardi,45.1934566,9.1513592,Europe/Rome
pv0219,POLICLINICO Golgi,45.1958164,9.1487232,Europe/Rome
pv0220,GOLGI Taramelli,45.1956753,9.1467951,Europe/Rome
pv0222,TARAMELLI Forlanini,45.1978365,9.1443076,Europe/Rome
pv0223,TARAMELLI Avis,45.1995996,9.1427794,Europe/Rome
pv0224,FERRATA Tangenziale Ovest,45.201771,9.1398795,Europe/Rome
pv0225,MAUGERI MONDINO,45.2033263,9.1411646,Europe/Rome
pv0226,FERRATA Abbiategrasso,45.2028614,9.1338046,Europe/Rome
pv0227,E.TIBALDI Cervi,45.1999572,9.1310158,Europe/Rome
pv0228,CASCINA PELIZZA E. Tibaldi,45.1987791,9.1293736,Europe/Rome
pv0229,SAN LANFRANCO Tevere,45.1945453,9.1258223,Europe/Rome
pv0231,SAN LANFRANCO Tevere,45.194444,9.1259406,Europe/Rome
pv0232,CASCINA PELIZZA E. Tibaldi,45.1981882,9.1288977,Europe/Rome
