route_id,service_id,trip_id,shape_id 
3_ritorno,L_V,1021,3_ritorno 
3_ritorno,L_V,1022,3_ritorno 
3_ritorno,L_V,1023,3_ritorno 
3_ritorno,L_V,1024,3_ritorno 
3_ritorno,L_V,1025,3_ritorno 
3_ritorno,L_V,1026,3_ritorno 
3_ritorno,L_V,1027,3_ritorno 
3_ritorno,L_V,1028,3_ritorno 
3_ritorno,L_V,1029,3_ritorno 
3_ritorno,L_V,1030,3_ritorno 
3_ritorno,L_V,1031,3_ritorno 
3_ritorno,L_V,1032,3_ritorno 
3_ritorno,L_V,1033,3_ritorno 
3_ritorno,L_V,1034,3_ritorno 
3_ritorno,L_V,1035,3_ritorno 
3_ritorno,L_V,1036,3_ritorno 
3_ritorno,L_V,1037,3_ritorno 
3_ritorno,L_V,1038,3_ritorno 
3_ritorno,L_V,1039,3_ritorno 
3_ritorno,L_V,1040,3_ritorno 
3_ritorno,L_V,1041,3_ritorno 
3_ritorno,L_V,1042,3_ritorno 
3_ritorno,L_V,1043,3_ritorno 
3_ritorno,L_V,1044,3_ritorno 
3_ritorno,L_V,1045,3_ritorno 
3_ritorno,L_V,1046,3_ritorno 
3_ritorno,L_V,1047,3_ritorno 
3_ritorno,L_V,1048,3_ritorno 
3_ritorno,L_V,1049,3_ritorno 
3_ritorno,L_V,1050,3_ritorno 
3_ritorno,L_V,1051,3_ritorno 
3_ritorno,L_V,1052,3_ritorno 
3_ritorno,L_V,1053,3_ritorno 
3_ritorno,L_V,1054,3_ritorno 
3_ritorno,L_V,1055,3_ritorno 
3_ritorno,L_V,1056,3_ritorno 
3_ritorno,S,1057,3_ritorno 
3_ritorno,S,1058,3_ritorno 
3_ritorno,S,1059,3_ritorno 
3_ritorno,S,1060,3_ritorno 
3_ritorno,S,1061,3_ritorno 
3_ritorno,S,1062,3_ritorno 
3_ritorno,S,1063,3_ritorno 
3_ritorno,S,1064,3_ritorno 
3_ritorno,S,1065,3_ritorno 
3_ritorno,S,1066,3_ritorno 
3_ritorno,S,1067,3_ritorno 
3_ritorno,S,1068,3_ritorno 
3_ritorno,S,1069,3_ritorno 
3_ritorno,S,1070,3_ritorno 
3_ritorno,S,1071,3_ritorno 
3_ritorno,S,1072,3_ritorno 
3_ritorno,S,1073,3_ritorno 
3_ritorno,S,1074,3_ritorno 
3_ritorno,S,1075,3_ritorno 
3_ritorno,S,1076,3_ritorno 
3_ritorno,S,1077,3_ritorno 
