shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
6%2FA.gpx,40.6781158,16.5909673,197,
6%2FA.gpx,40.6783082,16.5907267,198,
6%2FA.gpx,40.6783699,16.5906488,199,
6%2FA.gpx,40.6784473,16.5905471,200,
6%2FA.gpx,40.6785388,16.5904197,201,
6%2FA.gpx,40.6786673,16.5902409,202,
6%2FA.gpx,40.6787343,16.5901545,203,
6%2FA.gpx,40.6789156,16.5898827,204,
6%2FA.gpx,40.6790001,16.5897499,205,
6%2FA.gpx,40.6794564,16.5889155,206,
6%2FA.gpx,40.6795228,16.5888325,207,
6%2FA.gpx,40.6796122,16.5887323,208,
6%2FA.gpx,40.6797582,16.5886207,209,
6%2FA.gpx,40.6800501,16.5883887,210,
6%2FA.gpx,40.6800921,16.5883574,211,
6%2FA.gpx,40.6801094,16.5883462,212,
6%2FA.gpx,40.680266,16.5882196,213,
6%2FA.gpx,40.6804401,16.5880831,214,
6%2FA.gpx,40.6807055,16.5878447,215,
6%2FA.gpx,40.6809666,16.5875813,216,
6%2FA.gpx,40.6811438,16.5873997,217,
6%2FA.gpx,40.6812034,16.5873842,218,
6%2FA.gpx,40.68125,16.5873484,219,
6%2FA.gpx,40.6813438,16.5872397,220,
6%2FA.gpx,40.6813886,16.587197,221,
6%2FA.gpx,40.6818948,16.5867008,222,
6%2FA.gpx,40.6820622,16.5865315,223,
6%2FA.gpx,40.682393,16.5861976,224,
6%2FA.gpx,40.6824316,16.5861525,225,
6%2FA.gpx,40.6825024,16.5860828,226,
6%2FA.gpx,40.6829082,16.5856994,227,
6%2FA.gpx,40.6829582,16.5856501,228,
6%2FA.gpx,40.6832568,16.5853559,229,
6%2FA.gpx,40.6837268,16.584878,230,
6%2FA.gpx,40.6837602,16.5848471,231,
6%2FA.gpx,40.6838355,16.5847698,232,
6%2FA.gpx,40.6839519,16.5846688,233,
6%2FA.gpx,40.6840012,16.5846149,234,
6%2FA.gpx,40.684034,16.5846256,235,
6%2FA.gpx,40.6840607,16.5846244,236,
6%2FA.gpx,40.6840863,16.5846145,237,
6%2FA.gpx,40.6841705,16.5846119,238,
6%2FA.gpx,40.6843314,16.5846284,239,
6%2FA.gpx,40.6844645,16.5846537,240,
6%2FA.gpx,40.6847127,16.584701,241,
6%2FA.gpx,40.6851549,16.5847856,242,
6%2FA.gpx,40.6854161,16.5848356,243,
6%2FA.gpx,40.6855755,16.5848661,244,
6%2FA.gpx,40.6856879,16.5849064,245,
6%2FA.gpx,40.6858358,16.5851236,246,
6%2FA.gpx,40.6858885,16.5852087,247,
6%2FA.gpx,40.6859743,16.5853472,248,
6%2FA.gpx,40.6860661,16.5854924,249,
6%2FA.gpx,40.6860344,16.5858559,250,
6%2FA.gpx,40.6860232,16.5859848,251,
6%2FA.gpx,40.6860137,16.586064,252,
6%2FA.gpx,40.6859575,16.5865331,253,
6%2FA.gpx,40.6859675,16.5869163,254,
6%2FA.gpx,40.6860252,16.5869688,255,
6%2FA.gpx,40.6865686,16.5869583,256,
6%2FA.gpx,40.6870083,16.5868803,257,
6%2FA.gpx,40.6871484,16.5868775,258,
6%2FA.gpx,40.6876613,16.5869827,259,
6%2FA.gpx,40.6877833,16.5869975,260,
6%2FA.gpx,40.6890051,16.5871452,261,
6%2FA.gpx,40.6890761,16.5870522,262,
6%2FA.gpx,40.6890824,16.5870134,263,
6%2FA.gpx,40.6890684,16.5869779,264,
6%2FA.gpx,40.6889848,16.5868309,265,
6%2FA.gpx,40.6886816,16.5867268,266,
6%2FA.gpx,40.6882205,16.5865684,267,
6%2FA.gpx,40.6877863,16.5858822,268,
6%2FA.gpx,40.6877075,16.5858004,269,
6%2FA.gpx,40.6876143,16.5857603,270,
6%2FA.gpx,40.6874615,16.5857362,271
